Filename:	C:\Program Files (x86)\PerkinElmer\TGA Surfdrive\TGA Data\HS006_600C.tg8d 
Operator ID:	 
Sample ID:	HS006_600C 
Comment: 	 
Serial Number:	526B17062606 
Data Collected:	6-3-2025 13:24:30 
Sample Weight:	5.881 mg 
Display Weight:	5.881 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\20241217  HS.tg8c 
Date/Time:	17-12-2024 16:37:06 
Initial Conditions 
Temperature:	 30.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	16077 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
1)	Hold for 20.0 min at 30.00°C 
 
2)	Heat from 30.00°C to 300.00°C at 10.00°C/min 
		Switch External Channel 6 to On 
			Action occurs Immediately 
 
3)	Heat from 300.00°C to 600.00°C at 10.00°C/min 
		Switch the Gas to Nitrogen at 25.0 ml/min  
			Action occurs Immediately 
 
4)	Hold for 60.0 min at 600.00°C 
 
5)	Hold for 30.0 min at 600.00°C 
		Switch the Gas to Argon at 25.0 ml/min  
			Action occurs Immediately 
 
6)	Hold for 60.0 min at 600.00°C 
		Switch External Channel 5 to On 
			Action occurs Immediately 
		Switch the Gas to Argon at 5.0 ml/min  
			Action occurs Immediately 
 
7)	Hold for 10.0 min at 600.00°C 
		Switch the Gas to Argon at 25.0 ml/min  
			Action occurs Immediately 
		Switch External Channel 5 to Off 
			Action occurs Immediately 
 
8)	Cool from 600.00°C to 50.00°C at 50.00°C/min 
		Switch External Channel 6 to Off 
			Action occurs Immediately 
 
9)	Hold for 20.0 min at 50.00°C 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Sample     	Balance      
	          	Weight     	Weight     	Temperature	Temperature	Purge Flow	Purge Flow 
	0.000000	5.866467	0.000000	30.000000	30.270000	25.000000	74.900000 
	0.016667	5.865409	0.000000	30.000000	30.250000	25.000000	75.000000 
	0.033333	5.864350	0.000000	30.000000	30.240000	25.000000	75.000000 
	0.050000	5.863292	0.000000	30.000000	30.230000	25.000000	75.000000 
	0.066667	5.862197	0.000000	30.000000	30.220000	25.000000	75.000000 
	0.083333	5.861175	0.000000	30.000000	30.210000	25.000000	75.000000 
	0.100000	5.860153	0.000000	30.000000	30.200000	25.000000	75.000000 
	0.116667	5.859131	0.000000	30.000000	30.190000	25.000000	75.000000 
	0.133333	5.858145	0.000000	30.000000	30.180000	25.000000	75.000000 
	0.150000	5.857123	0.000000	30.000000	30.170000	25.000000	75.000000 
	0.166667	5.856138	0.000000	30.000000	30.170000	25.000000	75.000000 
	0.183333	5.855152	0.000000	30.000000	30.160000	25.000000	75.000000 
	0.200000	5.854203	0.000000	30.000000	30.150000	25.000000	75.000000 
	0.216667	5.853291	0.000000	30.000000	30.150000	25.000000	75.000000 
	0.233333	5.852378	0.000000	30.000000	30.130000	25.000000	75.000000 
	0.250000	5.851466	0.000000	30.000000	30.130000	25.000000	75.000000 
	0.266667	5.850590	0.000000	30.000000	30.120000	25.000000	75.000000 
	0.283333	5.849714	0.000000	30.000000	30.110000	25.000000	75.000000 
	0.300000	5.848838	0.000000	30.000000	30.100000	25.000000	75.000000 
	0.316667	5.847925	0.000000	30.000000	30.080000	25.000000	75.000000 
	0.333333	5.847086	0.000000	30.000000	30.080000	25.000000	75.000000 
	0.350000	5.846246	0.000000	30.000000	30.060000	25.000000	75.000000 
	0.366667	5.845443	0.000000	30.000000	30.050000	25.000000	75.000000 
	0.383333	5.844640	0.000000	30.000000	30.040000	25.000000	75.000000 
	0.400000	5.843874	0.000000	30.000000	30.040000	25.000000	75.000000 
	0.416667	5.843107	0.000000	30.000000	30.020000	25.000000	75.000000 
	0.433333	5.842377	0.000000	30.000000	30.020000	25.000000	75.000000 
	0.450000	5.841647	0.000000	30.000000	30.000000	25.000000	75.000000 
	0.466667	5.840917	0.000000	30.000000	30.000000	25.000000	75.000000 
	0.483333	5.840187	0.000000	30.000000	29.990000	25.000000	75.000000 
	0.500000	5.839494	0.000000	30.000000	29.980000	25.000000	75.000000 
	0.516667	5.838764	0.000000	30.000000	29.970000	25.000000	75.000000 
	0.533333	5.838107	0.000000	30.000000	29.970000	25.000000	75.000000 
	0.550000	5.837450	0.000000	30.000000	29.960000	25.000000	75.000000 
	0.566667	5.836793	0.000000	30.000000	29.950000	25.000000	75.000000 
	0.583333	5.836172	0.000000	30.000000	29.940000	25.000000	75.000000 
	0.600000	5.835552	0.000000	30.000000	29.930000	25.000000	75.000000 
	0.616667	5.834931	0.000000	30.000000	29.920000	25.000000	75.000000 
	0.633333	5.834274	0.000000	30.000000	29.910000	25.000000	75.000000 
	0.650000	5.833690	0.000000	30.000000	29.890000	25.000000	75.000000 
	0.666667	5.833070	0.000000	30.000000	29.880000	25.000000	75.000000 
	0.683333	5.832449	0.000000	30.000000	29.880000	25.000000	75.000000 
	0.700000	5.831829	0.000000	30.000000	29.870000	25.000000	75.000000 
	0.716667	5.831245	0.000000	30.000000	29.860000	25.000000	75.000000 
	0.733333	5.830661	0.000000	30.000000	29.850000	25.000000	75.000000 
	0.750000	5.830077	0.000000	30.000000	29.840000	25.000000	75.000000 
	0.766667	5.829493	0.000000	30.000000	29.830000	25.000000	75.000000 
	0.783333	5.828945	0.000000	30.000000	29.820000	25.000000	75.000000 
	0.800000	5.828398	0.000000	30.000000	29.820000	25.000000	75.000000 
	0.816667	5.827850	0.000000	30.000000	29.810000	25.000000	75.000000 
	0.833333	5.827339	0.000000	30.000000	29.800000	25.000000	75.000000 
	0.850000	5.826792	0.000000	30.000000	29.790000	25.000000	75.000000 
	0.866667	5.826245	0.000000	30.000000	29.780000	25.000000	75.000000 
	0.883333	5.825734	0.000000	30.000000	29.770000	25.000000	75.000000 
