Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\data\Sebastian_Rejman\Nasrin\2024_03_27_TGA of 9 Sample\NF_TGA_001_004_PVC-high weight.tg8d 
Operator ID:	 
Sample ID:	NF_TGA_001_PVC-high weight_004 
Comment: 	 
Serial Number:	526B20120104 
Data Collected:	01/04/2024 18:40:22 
Sample Weight:	0.845 mg 
Display Weight:	0.845 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\PW 20230705.tg8c 
Date/Time:	06/07/2023 11:54:27 
Initial Conditions 
Temperature:	 50.00 °C 
Baseline Filename:	 
End Condition:	Go To:	50.00°C 
Total Points in Run:	12577 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 45.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00°C 
 
2)	Heat from 50.00°C to 130.00°C at 5.00°C/min 
 
3)	Hold for 20.0 min at 130.00°C 
 
4)	Heat from 130.00°C to 600.00°C at 5.00°C/min 
 
5)	Hold for 5.0 min at 600.00°C 
 
6)	Cool from 600.00°C to 50.00°C at 500.00°C/min 
 
7)	Hold for 20.0 min at 50.00°C 
 
8)	Heat from 50.00°C to 800.00°C at 20.00°C/min 
		Switch the Gas to Oxygen at 45.0 ml/min  
			Action occurs Immediately 
 
9)	Hold for 15.0 min at 800.00°C 
		Switch the Gas to Nitrogen at 45.0 ml/min  
			Action occurs Immediately 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Sample     	Balance      
	          	Weight     	Weight     	Temperature	Temperature	Purge Flow	Purge Flow 
	0.000000	0.843940	0.000000	50.000000	50.020000	44.900000	69.900000 
	0.016667	0.843838	0.000000	50.000000	50.000000	44.900000	69.900000 
	0.033333	0.843770	0.000000	50.000000	49.980000	44.900000	69.900000 
	0.050000	0.843703	0.000000	50.000000	49.970000	44.900000	70.000000 
	0.066667	0.843635	0.000000	50.000000	49.970000	45.000000	70.000000 
	0.083333	0.843533	0.000000	50.000000	49.970000	44.900000	69.900000 
	0.100000	0.843465	0.000000	50.000000	49.970000	44.900000	70.000000 
	0.116667	0.843398	0.000000	50.000000	49.960000	44.900000	69.900000 
	0.133333	0.843364	0.000000	50.000000	49.960000	44.900000	69.900000 
	0.150000	0.843296	0.000000	50.000000	49.960000	44.900000	69.900000 
	0.166667	0.843262	0.000000	50.000000	49.960000	44.900000	69.900000 
	0.183333	0.843228	0.000000	50.000000	49.960000	44.900000	69.900000 
	0.200000	0.843194	0.000000	50.000000	49.960000	44.900000	69.900000 
	0.216667	0.843161	0.000000	50.000000	49.960000	44.900000	70.000000 
	0.233333	0.843161	0.000000	50.000000	49.960000	44.900000	70.000000 
	0.250000	0.843127	0.000000	50.000000	49.970000	44.900000	70.000000 
	0.266667	0.843093	0.000000	50.000000	49.980000	44.900000	70.000000 
	0.283333	0.843059	0.000000	50.000000	49.980000	44.900000	70.000000 
	0.300000	0.843025	0.000000	50.000000	49.980000	44.900000	70.000000 
	0.316667	0.842991	0.000000	50.000000	49.990000	44.900000	70.000000 
	0.333333	0.842957	0.000000	50.000000	49.990000	44.900000	70.000000 
	0.350000	0.842957	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.366667	0.842923	0.000000	50.000000	49.990000	44.900000	70.000000 
	0.383333	0.842890	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.400000	0.842890	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.416667	0.842856	0.000000	50.000000	50.000000	44.800000	70.000000 
	0.433333	0.842856	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.450000	0.842822	0.000000	50.000000	50.000000	44.900000	70.000000 
	0.466667	0.842788	0.000000	50.000000	50.010000	44.900000	70.000000 
	0.483333	0.842754	0.000000	50.000000	50.010000	44.900000	70.000000 
	0.500000	0.842754	0.000000	50.000000	50.010000	44.900000	70.000000 
