Title                                                           15.10.2024 18:00
________________________________________________________________________________

Title


FileName:
  SR_TGA_K001_PP, 15.10.2024 18:00:21
  Sample Weight
SampleID:
  SR_TGA_K001_PP, 4.9292 mg
Texts:

Remarks:
  
Evaluation:
  SR_TGA_K001_PP
Method:
  MT1a SR_PP_cracking
Order Nr:
  
Customer:
  
User:
  thermo
Results:
Curve:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0         45.647         50.000        4.92915
              1              1         45.699         50.083         4.9291
              2              2         45.774         50.167        4.92905
              3              3         45.825         50.250        4.92899
              4              4         45.911         50.333        4.92885
              5              5         45.996         50.417        4.92877
              6              6         46.084         50.500        4.92875
              7              7         46.173         50.583        4.92876
              8              8         46.261         50.667        4.92884
              9              9         46.360         50.750        4.92894
             10             10         46.462         50.833        4.92909
             11             11         46.555         50.917        4.92925
             12             12         46.666         51.000        4.92956
             13             13         46.772         51.083        4.92979
             14             14         46.876         51.167        4.93001
             15             15         46.988         51.250        4.93022
             16             16         47.088         51.333        4.93043
             17             17         47.197         51.417        4.93062
             18             18         47.313         51.500         4.9308
             19             19         47.417         51.583        4.93097
             20             20         47.525         51.667        4.93112
             21             21         47.640         51.750        4.93127
             22             22         47.752         51.833        4.93143
             23             23         47.862         51.917        4.93157
             24             24         47.968         52.000        4.93167
             25             25         48.087         52.083        4.93178
             26             26         48.203         52.167        4.93188
             27             27         48.320         52.250        4.93196
             28             28         48.436         52.333        4.93197
             29             29         48.529         52.417        4.93201
             30             30         48.652         52.500        4.93207
             31             31         48.763         52.583        4.93213
             32             32         48.889         52.667        4.93215
             33             33         49.004         52.750        4.93221
             34             34         49.117         52.833        4.93229
             35             35         49.221         52.917        4.93238
             36             36         49.350         53.000        4.93246
             37             37         49.460         53.083        4.93252
             38             38         49.566         53.167        4.93256
             39             39         49.687         53.250        4.93258
             40             40         49.795         53.333        4.93258
             41             41         49.898         53.417        4.93262
             42             42         50.025         53.500        4.93268
             43             43         50.144         53.583        4.93274
             44             44         50.260         53.667        4.93281
             45             45         50.372         53.750        4.93286
             46             46         50.483         53.833        4.93291
             47             47         50.591         53.917        4.93295
             48             48         50.710         54.000        4.93297
             49             49         50.820         54.083        4.93299
             50             50         50.923         54.167          4.933
             51             51         51.032         54.250        4.93302
             52             52         51.139         54.333        4.93301
             53             53         51.250         54.417        4.93302
             54             54         51.366         54.500        4.93305
             55             55         51.476         54.583        4.93312
             56             56         51.593         54.667        4.93325
             57             57         51.699         54.750        4.93336
             58             58         51.814         54.833        4.93347
             59             59         51.920         54.917        4.93358
             60             60         52.032         55.000        4.93372
             61             61         52.139         55.083        4.93382
             62             62         52.258         55.167         4.9339
             63             63         52.365         55.250        4.93396
             64             64         52.469         55.333        4.93395
             65             65         52.570         55.417        4.93397
             66             66         52.676         55.500        4.93399
             67             67         52.788         55.583          4.934
             68             68         52.889         55.667          4.934
             69             69         53.007         55.750          4.934
             70             70         53.113         55.833        4.93401
             71             71         53.220         55.917        4.93401
             72             72         53.329         56.000        4.93401
             73             73         53.420         56.083        4.93401
             74             74         53.528         56.167        4.93402
             75             75         53.632         56.250        4.93406
             76             76         53.733         56.333        4.93418
             77             77         53.852         56.417        4.93429
             78             78         53.956         56.500         4.9344
             79             79         54.053         56.583        4.93451
             80             80         54.158         56.667        4.93469
             81             81         54.263         56.750         4.9348
             82             82         54.374         56.833        4.93488
             83             83         54.472         56.917        4.93495
             84             84         54.565         57.000        4.93494
             85             85         54.681         57.083        4.93497
             86             86         54.786         57.167        4.93499
             87             87         54.893         57.250          4.935
             88             88         54.985         57.333          4.935
             89             89         55.087         57.417          4.935
             90             90         55.183         57.500        4.93501
             91             91         55.289         57.583        4.93501
             92             92         55.388         57.667        4.93501
             93             93         55.487         57.750        4.93501
             94             94         55.581         57.833        4.93501
             95             95         55.688         57.917        4.93501
             96             96         55.790         58.000        4.93501
             97             97         55.889         58.083        4.93501
             98             98         55.996         58.167        4.93501
             99             99         56.090         58.250        4.93501
            100            100         56.177         58.333        4.93501
            101            101         56.289         58.417        4.93501
            102            102         56.383         58.500        4.93502
            103            103         56.476         58.583        4.93505
            104            104         56.573         58.667        4.93515
            105            105         56.681         58.750        4.93526
            106            106         56.779         58.833        4.93537
