#EXPORTTYPE:DATA ALL
#FILE:CF-A_1000-ash.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:CF-A_1000-ash
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:TG
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:
#DATE/TIME:08.10.2024 15:04
#CORR. FILE:blanc_1000_air.ngb-bs3
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:---
#LABORATORY:IJL
#OPERATOR:TS
#REMARK:
#SAMPLE:CF-A_1000-ash
#SAMPLE MASS /mg:4.28
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:37›C/15,0(K/min)/1000›C/00:00/1000›C/
#SEGMENT:S1-2/2
#SEG. 1:37›C/15,0(K/min)/1000›C
#SEG. 2:1000›C/00:30/1000›C

##Temp./›C;Time/min;Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Segment
  31.06100; 0.00000;100.00000;50.00000;40.00000;1
  31.04500; 0.01000;100.00000;50.00000;40.00000;1
  31.07300; 0.02000;100.00000;50.00000;40.00000;1
  31.05700; 0.03000; 99.95327;50.00000;40.00000;1
  31.05700; 0.04000; 99.95327;50.00000;40.00000;1
  31.06100; 0.05000; 99.95327;50.00000;40.00000;1
  31.06900; 0.06000; 99.95327;50.00000;40.00000;1
  31.05800; 0.07000; 99.95327;50.00000;40.00000;1
  31.06000; 0.08000; 99.95327;50.00000;40.00000;1
  31.06000; 0.09000; 99.95327;50.00000;40.00000;1
  31.05700; 0.10000; 99.95327;50.00000;40.00000;1
  31.05900; 0.11000; 99.95327;50.00000;40.00000;1
  31.04700; 0.12000; 99.95327;50.00000;40.00000;1
  31.05900; 0.13000; 99.95327;50.00000;40.00000;1
  31.06200; 0.14000; 99.95327;50.00000;40.00000;1
  31.05400; 0.15000; 99.95327;50.00000;40.00000;1
  31.05300; 0.16000; 99.95327;50.00000;40.00000;1
  31.06200; 0.17000; 99.95327;50.00000;40.00000;1
  31.05400; 0.18000; 99.95327;50.00000;40.00000;1
  31.06300; 0.19000;100.00000;50.00000;40.00000;1
  31.06600; 0.20000;100.00000;50.00000;40.00000;1
  31.07100; 0.21000;100.00000;50.00000;40.00000;1
  31.06000; 0.22000;100.00000;50.00000;40.00000;1
  31.06600; 0.23000; 99.95327;50.00000;40.00000;1
  31.06800; 0.24000;100.00000;50.00000;40.00000;1
  31.07000; 0.25000;100.00000;50.00000;40.00000;1
  31.08100; 0.26000;100.00000;50.00000;40.00000;1
  31.06900; 0.27000;100.00000;50.00000;40.00000;1
  31.07900; 0.28000;100.02336;50.00000;40.00000;1
  31.09800; 0.29000;100.00000;50.00000;40.00000;1
  31.09800; 0.30000;100.02336;50.00000;40.00000;1
  31.09900; 0.31000; 99.97664;50.00000;40.00000;1
  31.11000; 0.32000;100.02336;50.00000;40.00000;1
  31.12300; 0.33000;100.04673;50.00000;40.00000;1
  31.12900; 0.34000;100.04673;50.00000;40.00000;1
  31.13500; 0.35000;100.04673;50.00000;40.00000;1
  31.15000; 0.36000;100.04673;50.00000;40.00000;1
  31.16000; 0.37000;100.07009;50.00000;40.00000;1
  31.17700; 0.38000;100.04673;50.00000;40.00000;1
  31.18400; 0.39000;100.07009;50.00000;40.00000;1
  31.19600; 0.40000;100.09346;50.00000;40.00000;1
  31.21600; 0.41000;100.14019;50.00000;40.00000;1
  31.22800; 0.42000;100.11682;50.00000;40.00000;1
  31.24300; 0.43000;100.16355;50.00000;40.00000;1
  31.27100; 0.44000;100.16355;50.00000;40.00000;1
  31.28400; 0.45000;100.21028;50.00000;40.00000;1
  31.29600; 0.46000;100.21028;50.00000;40.00000;1
  31.30200; 0.47000;100.25701;50.00000;40.00000;1
  31.33600; 0.48000;100.28037;50.00000;40.00000;1
  31.36300; 0.49000;100.30374;50.00000;40.00000;1
  31.37500; 0.50000;100.35047;50.00000;40.00000;1
  31.40100; 0.51000;100.37383;50.00000;40.00000;1
  31.42600; 0.52000;100.39720;50.00000;40.00000;1
  31.44400; 0.53000;100.39720;50.00000;40.00000;1
  31.46400; 0.54000;100.39720;50.00000;40.00000;1
  31.50000; 0.55000;100.46729;50.00000;40.00000;1
  31.51900; 0.56000;100.44393;50.00000;40.00000;1
  31.55400; 0.57000;100.53738;50.00000;40.00000;1
  31.58400; 0.58000;100.51402;50.00000;40.00000;1
  31.61800; 0.59000;100.53738;50.00000;40.00000;1
  31.63000; 0.60000;100.56075;50.00000;40.00000;1
  31.66700; 0.61000;100.58411;50.00000;40.00000;1
  31.69700; 0.62000;100.58411;50.00000;40.00000;1
  31.72100; 0.63000;100.65421;50.00000;40.00000;1
